Prefix,FirstName,MiddleName,LastName,Suffix,Address,City,State,Zip+4,St/Dis,BioguideID,Party,Blue Dogs,Progressives,New Dems,Problem Solvers,Republican Governance Group / Tuesday Group,Freedom Caucus,Main Street Caucus,Republican Study Committee,The Squad / Justice Democrats,Republican Main Street Partnership,,,,
The Honorable,Brian,,Babin,, 2236 Rayburn House Office Building,Washington,DC,20515-4336,TX36,B001291,R,,,,,,,,Yes,,,,,,
The Honorable,Don,,Bacon,, 2104 Rayburn House Office Building,Washington,DC,20515-2702,NE02,B001298,R,,,,Yes,Yes,,Yes,Yes,,yes,,,,
The Honorable,James,R.,Baird,, 2303 Rayburn House Office Building,Washington,DC,20515-1404,IN04,B001307,R,,,,,,,Yes,Yes,,,,,,
The Honorable,Troy,,Balderson,, 2429 Rayburn House Office Building,Washington,DC,20515-3512,OH12,B001306,R,,,,,Yes,,,Yes,,yes,,,,
The Honorable,Becca,,Balint,, 1408 Longworth House Office Building,Washington,DC,20515-4500,VT00,B001318,D,,Yes,,,,,,,,,,,,
The Honorable,Jim,,Banks,, 2418 Rayburn House Office Building,Washington,DC,20515-1403,IN03,B001299,R,,,,,,,,Yes,,,,,,
The Honorable,Andy,,Barr,, 2430 Rayburn House Office Building,Washington,DC,20515-1706,KY06,B001282,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Nanette,Diaz,Barragán,, 2312 Rayburn House Office Building,Washington,DC,20515-0544,CA44,B001300,D,,Yes,,,,,,,,,,,,
The Honorable,Aaron,,Bean,, 1239 Longworth House Office Building,Washington,DC,20515-0904,FL04,B001314,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Joyce,,Beatty,, 2079 Rayburn House Office Building,Washington,DC,20515-3503,OH03,B001281,D,,,,,,,,,,,,,,
The Honorable,Cliff,,Bentz,, 409 Cannon House Office Building,Washington,DC,20515-3702,OR02,B000668,R,,,,,Yes,,Yes,Yes,,yes,,,,
The Honorable,Ami,,Bera,, 172 Cannon House Office Building,Washington,DC,20515-0506,CA06,B001287,D,,,Yes,,,,,,,,,,,
The Honorable,Jack,,Bergman,, 566 Cannon House Office Building,Washington,DC,20515-2201,MI01,B001301,R,,,,,,,,Yes,,,,,,
The Honorable,Donald,S.,Beyer,Jr., 1119 Longworth House Office Building,Washington,DC,20515-4608,VA08,B001292,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Stephanie,I.,Bice,, 2437 Rayburn House Office Building,Washington,DC,20515-3605,OK05,B000740,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Andy,,Biggs,, 252 Cannon House Office Building,Washington,DC,20515-0305,AZ05,B001302,R,,,,,,Yes,,,,,,,,
The Honorable,Gus,M.,Bilirakis,, 2306 Rayburn House Office Building,Washington,DC,20515-0912,FL12,B001257,R,,,,,,,,Yes,,,,,,
The Honorable,Dan,,Bishop,, 2459 Rayburn House Office Building,Washington,DC,20515-3308,NC08,B001311,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Sanford,D.,Bishop,Jr., 2407 Rayburn House Office Building,Washington,DC,20515-1002,GA02,B000490,D,Yes,,,,,,,,,,,,,
The Honorable,Earl,,Blumenauer,, 1111 Longworth House Office Building,Washington,DC,20515-3703,OR03,B000574,D,,Yes,,,,,,,,,,,,
The Honorable,Lisa,,Blunt Rochester,, 1724 Longworth House Office Building,Washington,DC,20515-0800,DE00,B001303,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Lauren,,Boebert,, 1713 Longworth House Office Building,Washington,DC,20515-0603,CO03,B000825,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Suzanne,,Bonamici,, 2231 Rayburn House Office Building,Washington,DC,20515-3701,OR01,B001278,D,,Yes,,,,,,,,,,,,
The Honorable,Mike,,Bost,, 352 Cannon House Office Building,Washington,DC,20515-1312,IL12,B001295,R,,,,,Yes,,Yes,Yes,,yes,,,,
The Honorable,Jamaal,,Bowman,, 345 Cannon House Office Building,Washington,DC,20515-3216,NY16,B001223,D,,Yes,,,,,,,Yes,,,,,
The Honorable,Brendan,F.,Boyle,, 1502 Longworth House Office Building,Washington,DC,20515-3802,PA02,B001296,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Josh,,Brecheen,, 1208 Longworth House Office Building,Washington,DC,20515-3602,OK02,B001317,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Shontel,M.,Brown,, 449 Cannon House Office Building,Washington,DC,20515-3511,OH11,B001313,D,,,Yes,,,,,,,,,,,
The Honorable,Julia,,Brownley,, 2262 Rayburn House Office Building,Washington,DC,20515-0526,CA26,B001285,D,,,Yes,,,,,,,,,,,
The Honorable,Vern,,Buchanan,, 2110 Rayburn House Office Building,Washington,DC,20515-0916,FL16,B001260,R,,,,,,,,Yes,,,,,,
The Honorable,Larry,,Bucshon,, 2313 Rayburn House Office Building,Washington,DC,20515-1408,IN08,B001275,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Nikki,,Budzinski,, 1009 Longworth House Office Building,Washington,DC,20515-1313,IL13,B001315,D,,,Yes,,,,,,,,,,,
The Honorable,Tim,,Burchett,, 1122 Longworth House Office Building,Washington,DC,20515-4202,TN02,B001309,R,,,,,,,,,,,,,,
The Honorable,Michael,C.,Burgess,, 2161 Rayburn House Office Building,Washington,DC,20515-4326,TX26,B001248,R,,,,,Yes,,Yes,Yes,,yes,,,,
The Honorable,Eric,,Burlison,, 1108 Longworth House Office Building,Washington,DC,20515-2507,MO07,B001316,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Cori,,Bush,, 2463 Rayburn House Office Building,Washington,DC,20515-2501,MO01,B001224,D,,Yes,,,,,,,Yes,,,,,
The Honorable,Ken,,Calvert,, 2205 Rayburn House Office Building,Washington,DC,20515-0541,CA41,C000059,R,,,,,,,Yes,,,yes,,,,
The Honorable,Kat,,Cammack,, 2421 Rayburn House Office Building,Washington,DC,20515-0903,FL03,C001039,R,,,,,,,,Yes,,,,,,
The Honorable,Yadira,,Caraveo,, 1024 Longworth House Office Building,Washington,DC,20515-0001,CO08,C001134,D,,,Yes,,,,,,,,,,,
The Honorable,Salud,O.,Carbajal,, 2331 Rayburn House Office Building,Washington,DC,20515-0524,CA24,C001112,D,,,Yes,Yes,,,,,,,,,,
The Honorable,Tony,,Cárdenas,, 2181 Rayburn House Office Building,Washington,DC,20515-0529,CA29,C001097,D,,,,,,,,,,,,,,
The Honorable,Mike,,Carey,, 1433 Longworth House Office Building,Washington,DC,20515-3515,OH15,C001126,R,,,,,,,Yes,Yes,,,,,,
The Honorable,Jerry,L.,Carl,, 1330 Longworth House Office Building,Washington,DC,20515-0101,AL01,C001054,R,,,,,,,,Yes,,,,,,
The Honorable,André,,Carson,, 2135 Rayburn House Office Building,Washington,DC,20515-1407,IN07,C001072,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Earl,"L. ""Buddy""",Carter,, 2432 Rayburn House Office Building,Washington,DC,20515-1001,GA01,C001103,R,,,,,Yes,,Yes,Yes,,yes,,,,
The Honorable,John,R.,Carter,, 2208 Rayburn House Office Building,Washington,DC,20515-4331,TX31,C001051,R,,,,,,,,Yes,,,,,,
The Honorable,Troy,A.,Carter,, 442 Cannon House Office Building,Washington,DC,20515-1802,LA02,C001125,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Matt,,Cartwright,, 2102 Rayburn House Office Building,Washington,DC,20515-3808,PA08,C001090,D,,Yes,,,,,,,,,,,,
The Honorable,Greg,,Casar,, 1339 Longworth House Office Building,Washington,DC,20515-4335,TX35,C001131,D,,Yes,,,,,,,Yes,,,,,
The Honorable,Ed,,Case,, 2210 Rayburn House Office Building,Washington,DC,20515-1101,HI01,C001055,D,,,Yes,Yes,,,,,,,,,,
The Honorable,Sean,,Casten,, 2440 Rayburn House Office Building,Washington,DC,20515-1306,IL06,C001117,D,,,Yes,,,,,,,,,,,
The Honorable,Kathy,,Castor,, 2052 Rayburn House Office Building,Washington,DC,20515-0914,FL14,C001066,D,,,,,,,,,,,,,,
The Honorable,Joaquin,,Castro,, 2241 Rayburn House Office Building,Washington,DC,20515-4320,TX20,C001091,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Lori,,Chavez-DeRemer,, 1722 Longworth House Office Building,Washington,DC,20515-3705,OR05,C001135,R,,,,Yes,Yes,,Yes,,,yes,,,,
The Honorable,Sheila,,Cherfilus-McCormick,, 242 Cannon House Office Building,Washington,DC,20515-0920,FL20,C001127,D,,Yes,,,,,,,,,,,,
The Honorable,Judy,,Chu,, 2423 Rayburn House Office Building,Washington,DC,20515-0528,CA28,C001080,D,,Yes,,,,,,,,,,,,
The Honorable,Juan,,Ciscomani,, 1429 Longworth House Office Building,Washington,DC,20515-0306,AZ06,C001133,R,,,,Yes,Yes,,Yes,Yes,,yes,,,,
The Honorable,Katherine,M.,Clark,, 2368 Rayburn House Office Building,Washington,DC,20515-2105,MA05,C001101,D,,,,,,,,,,,,,,
The Honorable,Yvette,D.,Clarke,, 2058 Rayburn House Office Building,Washington,DC,20515-3209,NY09,C001067,D,,Yes,,,,,,,,,,,,
The Honorable,Emanuel,,Cleaver,, 2217 Rayburn House Office Building,Washington,DC,20515-2505,MO05,C001061,D,,,,,,,,,,,,,,
The Honorable,Ben,,Cline,, 2443 Rayburn House Office Building,Washington,DC,20515-4606,VA06,C001118,R,,,,Yes,,Yes,,Yes,,,,,,
The Honorable,Michael,,Cloud,, 171 Cannon House Office Building,Washington,DC,20515-4327,TX27,C001115,R,,,,,,Yes,,Yes,,,,,,
The Honorable,James,E.,Clyburn,, 274 Cannon House Office Building,Washington,DC,20515-4006,SC06,C000537,D,,,,,,,,,,,,,,
The Honorable,Andrew,S.,Clyde,, 445 Cannon House Office Building,Washington,DC,20515-1009,GA09,C001116,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Steve,,Cohen,, 2268 Rayburn House Office Building,Washington,DC,20515-4209,TN09,C001068,D,,,,,,,,,,,,,,
The Honorable,Tom,,Cole,, 2207 Rayburn House Office Building,Washington,DC,20515-3604,OK04,C001053,R,,,,,,,,Yes,,,,,,
The Honorable,Mike,,Collins,, 1223 Longworth House Office Building,Washington,DC,20515-1010,GA10,C001129,R,,,,,,Yes,,Yes,,,,,,
The Honorable,James,,Comer,, 2410 Rayburn House Office Building,Washington,DC,20515-1701,KY01,C001108,R,,,,,,,,Yes,,,,,,
The Honorable,Gerald,E.,Connolly,, 2265 Rayburn House Office Building,Washington,DC,20515-4611,VA11,C001078,D,,,Yes,,,,,,,,,,,
The Honorable,J.,Luis,Correa,, 2301 Rayburn House Office Building,Washington,DC,20515-0546,CA46,C001110,D,Yes,,Yes,,,,,,,,,,,
The Honorable,Jim,,Costa,, 2081 Rayburn House Office Building,Washington,DC,20515-0521,CA21,C001059,D,Yes,,Yes,Yes,,,,,,,,,,
The Honorable,Joe,,Courtney,, 2449 Rayburn House Office Building,Washington,DC,20515-0702,CT02,C001069,D,,,Yes,,,,,,,,,,,
The Honorable,Angie,,Craig,, 2442 Rayburn House Office Building,Washington,DC,20515-2302,MN02,C001119,D,,,Yes,Yes,,,,,,,,,,
The Honorable,Elijah,,Crane,, 1229 Longworth House Office Building,Washington,DC,20515-0302,AZ02,C001132,R,,,,,,Yes,,,,,,,,
The Honorable,Eric,"A. ""Rick""",Crawford,, 2422 Rayburn House Office Building,Washington,DC,20515-0401,AR01,C001087,R,,,,,,,,,,,,,,
The Honorable,Dan,,Crenshaw,, 248 Cannon House Office Building,Washington,DC,20515-4302,TX02,C001120,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Jasmine,,Crockett,, 1616 Longworth House Office Building,Washington,DC,20515-4330,TX30,C001130,D,,Yes,,,,,,,,,,,,
The Honorable,Jason,,Crow,, 1323 Longworth House Office Building,Washington,DC,20515-0606,CO06,C001121,D,,,Yes,,,,,,,,,,,
The Honorable,Henry,,Cuellar,, 2372 Rayburn House Office Building,Washington,DC,20515-4328,TX28,C001063,D,Yes,,Yes,Yes,,,,,,,,,,
The Honorable,John,R.,Curtis,, 2323 Rayburn House Office Building,Washington,DC,20515-4403,UT03,C001114,R,,,,Yes,Yes,,Yes,Yes,,yes,,,,
The Honorable,Anthony,,D'Esposito,, 1508 Longworth House Office Building,Washington,DC,20515-3204,NY04,D000632,R,,,,Yes,Yes,,,,,yes,,,,
The Honorable,Sharice,,Davids,, 2435 Rayburn House Office Building,Washington,DC,20515-1603,KS03,D000629,D,,,Yes,,,,,,,,,,,
The Honorable,Warren,,Davidson,, 2113 Rayburn House Office Building,Washington,DC,20515-3508,OH08,D000626,R,,,,,,,,Yes,,,,,,
The Honorable,Danny,K.,Davis,, 2159 Rayburn House Office Building,Washington,DC,20515-1307,IL07,D000096,D,,Yes,,,,,,,,,,,,
The Honorable,Donald,G.,Davis,, 1123 Longworth House Office Building,Washington,DC,20515-3301,NC01,D000230,D,,,Yes,Yes,,,,,,,,,,
The Honorable,Monica,,De La Cruz,, 1415 Longworth House Office Building,Washington,DC,20515-4315,TX15,D000594,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Madeleine,,Dean,, 150 Cannon House Office Building,Washington,DC,20515-3804,PA04,D000631,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Diana,,DeGette,, 2111 Rayburn House Office Building,Washington,DC,20515-0601,CO01,D000197,D,,Yes,,,,,,,,,,,,
The Honorable,Rosa,L.,DeLauro,, 2413 Rayburn House Office Building,Washington,DC,20515-0703,CT03,D000216,D,,Yes,,,,,,,,,,,,
The Honorable,Suzan,K.,DelBene,, 2330 Rayburn House Office Building,Washington,DC,20515-4701,WA01,D000617,D,,,Yes,,,,,,,,,,,
The Honorable,Christopher,R.,Deluzio,, 1222 Longworth House Office Building,Washington,DC,20515-3817,PA17,D000530,D,,,,,,,,,,,,,,
The Honorable,Mark,,DeSaulnier,, 503 Cannon House Office Building,Washington,DC,20515-0510,CA10,D000623,D,,yes,,,,,,,,,,,,
The Honorable,Scott,,DesJarlais,, 2304 Rayburn House Office Building,Washington,DC,20515-4204,TN04,D000616,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Mario,,Diaz-Balart,, 374 Cannon House Office Building,Washington,DC,20515-0926,FL26,D000600,R,,,,,Yes,,Yes,,,yes,,,,
The Honorable,Debbie,,Dingell,, 102 Cannon House Office Building,Washington,DC,20515-2206,MI06,D000624,D,,Yes,,Yes,,,,,,,,,,
The Honorable,Lloyd,,Doggett,, 2307 Rayburn House Office Building,Washington,DC,20515-0001,TX37,D000399,D,,Yes,,,,,,,,,,,,
The Honorable,Byron,,Donalds,, 1719 Longworth House Office Building,Washington,DC,20515-0919,FL19,D000032,R,,,,,,Yes,,Yes,,,,,,
The Honorable,John,S.,Duarte,, 1535 Longworth House Office Building,Washington,DC,20515-0513,CA13,D000633,R,,,,,,,yes,,,yes,,,,
The Honorable,Jeff,,Duncan,, 2229 Rayburn House Office Building,Washington,DC,20515-4003,SC03,D000615,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Neal,P.,Dunn,, 466 Cannon House Office Building,Washington,DC,20515-0902,FL02,D000628,R,,,,,,,,Yes,,,,,,
The Honorable,Chuck,,Edwards,, 1505 Longworth House Office Building,Washington,DC,20515-3311,NC11,E000246,R,,,,Yes,,,Yes,Yes,,yes,,,,
The Honorable,Jake,,Ellzey,, 1721 Longworth House Office Building,Washington,DC,20515-4306,TX06,E000071,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Tom,,Emmer,, 464 Cannon House Office Building,Washington,DC,20515-2306,MN06,E000294,R,,,,,,,,Yes,,yes,,,,
The Honorable,Veronica,,Escobar,, 2448 Rayburn House Office Building,Washington,DC,20515-4316,TX16,E000299,D,,,Yes,,,,,,,,,,,
The Honorable,Anna,G.,Eshoo,, 272 Cannon House Office Building,Washington,DC,20515-0516,CA16,E000215,D,,,,,,,,,,,,,,
The Honorable,Adriano,,Espaillat,, 2332 Rayburn House Office Building,Washington,DC,20515-3213,NY13,E000297,D,,Yes,,,,,,,,,,,,
The Honorable,Ron,,Estes,, 2234 Rayburn House Office Building,Washington,DC,20515-1604,KS04,E000298,R,,,,,,,,Yes,,,,,,
The Honorable,Dwight,,Evans,, 1105 Longworth House Office Building,Washington,DC,20515-3803,PA03,E000296,D,,Yes,,,,,,,,,,,,
The Honorable,Mike,,Ezell,, 443 Cannon House Office Building,Washington,DC,20515-2404,MS04,E000235,R,,,,,,,,Yes,,,,,,
The Honorable,Pat,,Fallon,, 2416 Rayburn House Office Building,Washington,DC,20515-4304,TX04,F000246,R,,,,,,,,Yes,,,,,,
The Honorable,Randy,,Feenstra,, 1440 Longworth House Office Building,Washington,DC,20515-1504,IA04,F000446,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,A.,Drew,Ferguson,IV, 2239 Rayburn House Office Building,Washington,DC,20515-1003,GA03,F000465,R,,,,,,,,Yes,,,,,,
The Honorable,Brad,,Finstad,, 1605 Longworth House Office Building,Washington,DC,20515-2301,MN01,F000475,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Michelle,,Fischbach,, 1004 Longworth House Office Building,Washington,DC,20515-2307,MN07,F000470,R,,,,,,,,Yes,,,,,,
The Honorable,Scott,,Fitzgerald,, 1507 Longworth House Office Building,Washington,DC,20515-4905,WI05,F000471,R,,,,,,,,Yes,,,,,,
The Honorable,Brian,K.,Fitzpatrick,, 271 Cannon House Office Building,Washington,DC,20515-3801,PA01,F000466,R,,,,Yes,Yes,,Yes,,,yes,,,,
The Honorable,Charles,"J. ""Chuck""",Fleischmann,, 2187 Rayburn House Office Building,Washington,DC,20515-4203,TN03,F000459,R,,,,,,,,Yes,,,,,,
The Honorable,Lizzie,,Fletcher,, 346 Cannon House Office Building,Washington,DC,20515-4307,TX07,F000468,D,,,Yes,,,,,,,,,,,
The Honorable,Mike,,Flood,, 343 Cannon House Office Building,Washington,DC,20515-2701,NE01,F000474,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Vince,,Fong,, 2468 Rayburn House Office Building,Washington,DC,20515-0520,CA20,F000480,R,,,,,,,Yes,,,,,,,
The Honorable,Bill,,Foster,, 2366 Rayburn House Office Building,Washington,DC,20515-1311,IL11,F000454,D,,,Yes,,,,,,,,,,,
The Honorable,Valerie,P.,Foushee,, 1716 Longworth House Office Building,Washington,DC,20515-3304,NC04,F000477,D,,Yes,Yes,,,,,,,,,,,
The Honorable,Virginia,,Foxx,, 2462 Rayburn House Office Building,Washington,DC,20515-3305,NC05,F000450,R,,,,,,,,Yes,,,,,,
The Honorable,Lois,,Frankel,, 2305 Rayburn House Office Building,Washington,DC,20515-0922,FL22,F000462,D,,,,,,,,,,,,,,
The Honorable,Scott,,Franklin,, 249 Cannon House Office Building,Washington,DC,20515-0918,FL18,F000472,R,,,,,,,,Yes,,,,,,
The Honorable,Maxwell,,Frost,, 1224 Longworth House Office Building,Washington,DC,20515-0910,FL10,F000476,D,,yes,,,,,,,,,,,,
The Honorable,Russell,,Fry,, 1626 Longworth House Office Building,Washington,DC,20515-4007,SC07,F000478,R,,,,,,,,Yes,,,,,,
The Honorable,Russ,,Fulcher,, 1514 Longworth House Office Building,Washington,DC,20515-1201,ID01,F000469,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Matt,,Gaetz,, 2021 Rayburn House Office Building,Washington,DC,20515-0901,FL01,G000578,R,,,,,,,,,,,,,,
The Honorable,Ruben,,Gallego,, 1114 Longworth House Office Building,Washington,DC,20515-0303,AZ03,G000574,D,,,,,,,,,,,,,,
The Honorable,John,,Garamendi,, 2004 Rayburn House Office Building,Washington,DC,20515-0508,CA08,G000559,D,,Yes,,,,,,,,,,,,
The Honorable,Andrew,R.,Garbarino,, 2344 Rayburn House Office Building,Washington,DC,20515-3202,NY02,G000597,R,,,,Yes,Yes,,YEs,,,yes,,,,
The Honorable,Mike,,Garcia,, 144 Cannon House Office Building,Washington,DC,20515-0527,CA27,G000061,R,,,,,,,,Yes,,,,,,
The Honorable,Robert,,Garcia,, 1305 Longworth House Office Building,Washington,DC,20515-0542,CA42,G000598,D,,Yes,,,,,,,,,,,,
The Honorable,Sylvia,R.,Garcia,, 2419 Rayburn House Office Building,Washington,DC,20515-4329,TX29,G000587,D,,,,,,,,,,,,,,
The Honorable,Jesús,"G. ""Chuy""",García,, 1519 Longworth House Office Building,Washington,DC,20515-1304,IL04,G000586,D,,Yes,,,,,,,,,,,,
The Honorable,Carlos,A.,Gimenez,, 448 Cannon House Office Building,Washington,DC,20515-0001,FL28,G000593,R,,,,,Yes,,Yes,Yes,,yes,,,,
The Honorable,Jared,F.,Golden,, 1710 Longworth House Office Building,Washington,DC,20515-1902,ME02,G000592,D,Yes,,,Yes,,,,,,,,,,
The Honorable,Daniel,S.,Goldman,, 245 Cannon House Office Building,Washington,DC,20515-3210,NY10,G000599,D,,Yes,,,,,,,,,,,,
The Honorable,Jimmy,,Gomez,, 506 Cannon House Office Building,Washington,DC,20515-0534,CA34,G000585,D,,Yes,,,,,,,,,,,,
The Honorable,Tony,,Gonzales,, 2244 Rayburn House Office Building,Washington,DC,20515-4323,TX23,G000594,R,,,,yes,,,,Yes,,,,,,
The Honorable,Vicente,,Gonzalez,, 154 Cannon House Office Building,Washington,DC,20515-4334,TX34,G000581,D,Yes,,Yes,,,,,,,,,,,
The Honorable,Jenniffer,,González-Colón,, 2338 Rayburn House Office Building,Washington,DC,20515-5401,PR00,G000582,R,,,,Yes,Yes,,Yes,,,,,,,
The Honorable,Bob,,Good,, 461 Cannon House Office Building,Washington,DC,20515-4605,VA05,G000595,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Lance,,Gooden,, 2431 Rayburn House Office Building,Washington,DC,20515-4305,TX05,G000589,R,,,,,,,,Yes,,,,,,
The Honorable,Paul,A.,Gosar,, 2057 Rayburn House Office Building,Washington,DC,20515-0309,AZ09,G000565,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Josh,,Gottheimer,, 203 Cannon House Office Building,Washington,DC,20515-3005,NJ05,G000583,D,Yes,,Yes,Yes,,,,,,,,,,
The Honorable,Kay,,Granger,, 2308 Rayburn House Office Building,Washington,DC,20515-4312,TX12,G000377,R,,,,,,,,Yes,,,,,,
The Honorable,Garret,,Graves,, 2402 Rayburn House Office Building,Washington,DC,20515-1806,LA06,G000577,R,,,,,,,,Yes,,,,,,
The Honorable,Sam,,Graves,, 1135 Longworth House Office Building,Washington,DC,20515-2506,MO06,G000546,R,,,,,,,,,,,,,,
The Honorable,Al,,Green,, 2347 Rayburn House Office Building,Washington,DC,20515-4309,TX09,G000553,D,,,,,,,,,,,,,,
The Honorable,Mark,E.,Green,, 2446 Rayburn House Office Building,Washington,DC,20515-4207,TN07,G000590,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Marjorie,Taylor,Greene,, 403 Cannon House Office Building,Washington,DC,20515-1014,GA14,G000596,R,,,,,,,,Yes,,,,,,
The Honorable,H.,Morgan,Griffith,, 2202 Rayburn House Office Building,Washington,DC,20515-4609,VA09,G000568,R,,,,,,Yes,,,,,,,,
The Honorable,Raúl,M.,Grijalva,, 1203 Longworth House Office Building,Washington,DC,20515-0307,AZ07,G000551,D,,Yes,,,,,,,Yes,,,,,
The Honorable,Glenn,,Grothman,, 1511 Longworth House Office Building,Washington,DC,20515-4906,WI06,G000576,R,,,,,,,,Yes,,,,,,
The Honorable,Michael,,Guest,, 450 Cannon House Office Building,Washington,DC,20515-2403,MS03,G000591,R,,,,,,,Yes,Yes,,yes,,,,
The Honorable,Brett,,Guthrie,, 2434 Rayburn House Office Building,Washington,DC,20515-1702,KY02,G000558,R,,,,,,,YEs,Yes,,,,,,
The Honorable,Harriet,M.,Hageman,, 1531 Longworth House Office Building,Washington,DC,20515-5000,WY00,H001096,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Josh,,Harder,, 209 Cannon House Office Building,Washington,DC,20515-0509,CA09,H001090,D,,,Yes,Yes,,,,,,,,,,
The Honorable,Andy,,Harris,, 1536 Longworth House Office Building,Washington,DC,20515-2001,MD01,H001052,R,,,,,,Yes,,,,,,,,
The Honorable,Diana,,Harshbarger,, 167 Cannon House Office Building,Washington,DC,20515-4201,TN01,H001086,R,,,,,,Yes,,Yes,,,,,,
The Honorable,Jahana,,Hayes,, 2458 Rayburn House Office Building,Washington,DC,20515-0705,CT05,H001081,D,,,,,,,,,,,,,,
The Honorable,Kevin,,Hern,, 1019 Longworth House Office Building,Washington,DC,20515-3601,OK01,H001082,R,,,,,,,,Yes,,,,,,
The Honorable,Clay,,Higgins,, 572 Cannon House Office Building,Washington,DC,20515-1803,LA03,H001077,R,,,,,,Yes,,Yes,,,,,,
The Honorable,J.,French,Hill,, 1533 Longworth House Office Building,Washington,DC,20515-0402,AR02,H001072,R,,,,,,,Yes,Yes,,,,,,
The Honorable,James,A.,Himes,, 2137 Rayburn House Office Building,Washington,DC,20515-0704,CT04,H001047,D,,,Yes,,,,,,,,,,,
The Honorable,Ashley,,Hinson,, 1717 Longworth House Office Building,Washington,DC,20515-1502,IA02,H001091,R,,,,,,,,Yes,,,,,,
The Honorable,Steven,,Horsford,, 406 Cannon House Office Building,Washington,DC,20515-2804,NV04,H001066,D,,Yes,Yes,Yes,,,,,,,,,,
The Honorable,Erin,,Houchin,, 1632 Longworth House Office Building,Washington,DC,20515-1409,IN09,H001093,R,,,,,,,Yes,Yes,,yes,,,,
