Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Rep. Robert Aderholt,R,AL-4,@Robert_Aderholt,@robert_aderholt,https://www.facebook.com/RobertAderholt
Rep. Robert Garcia,D,CA-42,@RobertGarcia,@RepRobertGarcia,https://www.facebook.com/robertgarcialb/
Rep. Robert Latta,R,OH-5,@BobLatta,@boblatta,https://www.facebook.com/boblatta?fref=ts
Rep. Robert Menendez,D,NJ-8,@RepMenendez,@repmenendez,https://www.facebook.com/RobMenendez4NJ/
Rep. Robin Kelly,D,IL-2,@RepRobinKelly,@reprobinkelly,https://www.facebook.com/reprobinkelly
Rep. Ron Estes,R,KS-4,@RepRonEstes,@RepRonEstes,https://www.facebook.com/RepRonEstes
Rep. Rosa DeLauro,D,CT-3,@RosaDeLauro,@reprosadelauro,https://www.facebook.com/CongresswomanRosaDeLauro
Rep. Ruben Gallego,D,AZ-3,@RepRubenGallego,@reprubengallego,https://www.facebook.com/RepRubenGallego
Rep. Rudy Yakym,R,IN-2,@RepRudyYakym,,https://www.facebook.com/RepRudyYakym
Rep. Russ Fulcher,R,ID-1,@reprussfulcher,@reprussfulcher,https://www.facebook.com/RepRussFulcher
Rep. Ryan Zinke,R,MT-1,@RepRyanZinke,@repryanzinke,https://www.facebook.com/ryanzinke/
Rep. Salud Carbajal,D,CA-24,@RepCarbajal,@repcarbajal,http://www.facebook.com/repsaludcarbajal/
Rep. Sam Graves,R,MO-6,@RepSamGraves,@repsamgraves,https://www.facebook.com/RepSamGraves/
Rep. Sanford Bishop,D,GA-2,@SanfordBishop,@repsanfordbishop,https://www.facebook.com/sanfordbishop
Rep. Sara Jacobs,D,CA-51,@RepSaraJacobs,@sarajacobsca,https://www.facebook.com/RepSaraJacobs/
Rep. Scott Peters,D,CA-50,@RepScottPeters,@repscottpeters,https://www.facebook.com/scottpeterssandiego
Rep. Sean Casten,D,IL-6,@RepCasten,@repseancasten,https://www.facebook.com/RepSeanCasten/
Rep. Seth Moulton,D,MA-6,@teammoulton,@RepMoulton,https://www.facebook.com/CongressmanSethMoulton
Rep. Sharice Davids,D,KS-3,@RepDavids,@repdavids,https://www.facebook.com/RepDavids
Rep. Sheila Cherfilus-McCormick,D,FL-20,@CongresswomanSC,@sheilacherfilusmccormick,https://www.facebook.com/congresswomanSCM
Rep. Shontel Brown,D,OH-11,@RepShontelBrown,@shontelbrown,https://www.facebook.com/RepShontelBrown/
Rep. Shri Thanedar,D,MI-13,@RepShriThanedar,@repshrithanedar,
Rep. Steny Hoyer,D,MD-5,@WhipHoyer,@repstenyhoyer,https://www.facebook.com/WhipHoyer
Rep. Stephanie Bice,R,OK-5,@RepBice,@stephaniebice,https://www.facebook.com/RepStephanieBice/
Rep. Stephen Lynch,D,MA-8,@RepStephenLynch,@repstephenlynch,https://www.facebook.com/repstephenlynch
Rep. Steve Scalise,R,LA-1,@SteveScalise,@stevescalise,https://www.facebook.com/RepSteveScalise
Rep. Steve Womack,R,AR-3,@Rep_SteveWomack,@rep_stevewomack,https://www.facebook.com/RepSteveWomack?v=wall
Rep. Steven Horsford,D,NV-4,@RepHorsford,@rephorsford,https://www.facebook.com/RepHorsford/
Rep. Susie Lee,D,NV-3,@RepSusieLee,@repsusielee,https://www.facebook.com/RepSusieLee
Rep. Suzanne Bonamici,D,OR-1,@RepBonamici,@repbonamini,https://www.facebook.com/CongresswomanBonamici
Rep. Sydney Kamlager-Dove,D,CA-37,@sydneykamlager,@sydneykamlager,https://www.facebook.com/SenSydneyKamlager/
Rep. Ted Lieu,D,CA-36,@RepTedLieu,@RepTedLieu,https://www.facebook.com/RepTedLieu
Rep. Teresa Leger Fernandez,D,NM-3,@RepTeresaLF,@RepLegerFernandez,https://www.facebook.com/RepTeresaLF
Rep. Terri Sewell,D,AL-7,@RepTerriSewell,@repterriasewell,https://www.facebook.com/RepSewell
Rep. Thomas Kean,R,NJ-7,@CongressmanKean,@congressmankean,https://www.facebook.com/tomkeanjr/
Rep. Thomas Massie,R,KY-4,@RepThomasMassie,@repthomasmassie,https://www.facebook.com/RepThomasMassie
Rep. Tim Walberg,R,MI-5,@RepWalberg,@RepWalberg,https://www.facebook.com/RepWalberg
Rep. Tom Cole,R,OK-4,@TomColeOK04,@TomColeOK04,https://www.facebook.com/TomColeOK04
Rep. Tom Emmer,R,MN-6,@RepTomEmmer,@reptomemmer,https://www.facebook.com/reptomemmer
Rep. Tom McClintock,R,CA-5,@RepMcClintock,@repmcclintok,https://www.facebook.com/pages/Congressman-Tom-McClin
Rep. Tony Cardenas,D,CA-29,@RepCardenas,@repcardenas,https://www.facebook.com/repcardenas
Rep. Tracey Mann,R,KS-1,@RepMann,@reptraceymann,https://www.facebook.com/Congressman-Tracey-Mann
Rep. Trent Kelly,R,MS-1,@reptrentkelly,@reptrentkelly,https://www.facebook.com/RepTrentKelly
Rep. Troy Balderson,R,OH-12,@RepBalderson,@repbalderson,https://www.facebook.com/RepTroyBalderson/
Rep. Troy Carter,D,LA-2,@RepTroyCarter,@reptroycarter,https://www.facebook.com/repjulialetlow/
Rep. Val Hoyle,D,OR-4,@repvalhoyle,@rephoyle,https://www.facebook.com/people/Val-Hoyle/100089086878
Rep. Valerie Foushee,D,NC-4,@ValerieFoushee,@repvaleriefoushee,https://www.facebook.com/RepValerieFoushee/
Rep. Vern Buchanan,R,FL-16,@VernBuchanan,@repvern,https://www.facebook.com/CongressmanBuchanan
Rep. Victoria Spartz,R,IN-5,@RepSpartz,@repvictoriaspartz,https://www.facebook.com/RepSpartz/
Rep. Virginia Foxx,R,NC-5,@VirginiaFoxx,@repvirginiafoxx,https://www.facebook.com/RepVirginiaFoxx
Rep. Warren Davidson,R,OH-8,@WarrenDavidson,@instawarrendavidson,http://www.facebook.com/CongressmanWarrenDavidson
Rep. William Keating,D,MA-9,@USRepKeating,,https://www.facebook.com/Congressman.Keating
Rep. Yadira Caraveo,D,CO-8,@YadiraCaraveo,@caraveoforcongress,https://www.facebook.com/caraveoforcongress/
Rep. Young Kim,R,CA-40,@RepYoungKim,@repyoungkim,https://www.facebook.com/RepYoungKim
Rep. Yvette Clarke,D,NY-9,@YvetteClarke,@repyvetteclarke,https://www.facebook.com/repyvettedclarke
Rep. Zachary Nunn,R,IA-3,@ZachNunn,@RepZachNun,https://www.facebook.com/RepZachNunn/
Rep. Zoe Lofgren,D,CA-18,@RepZoeLofgren,@repzoelofgren,https://www.facebook.com/zoelofgren
Rep.Wiley Nickel,D,NC-13,@wileynickel,@wileynickelnc,https://www.facebook.com/WileyNickelNC/
Sen. Alex Padilla,D,CA,@SenAlexPadilla,@senalexpadilla,https://www.facebook.com/SenAlexPadilla/
Sen. Amy Klobuchar,D,MN,@amyklobuchar,@amyklobuchar,https://www.facebook.com/amyklobuchar
Sen. Angus King Jr.,I,ME,@SenAngusKing,@anguskingmaine,https://www.facebook.com/SenatorAngusSKingJr
Sen. Ben Ray Lujan,D,NM,@SenatorLujan,@benraylujan,https://www.facebook.com/SenatorLujan/
Sen. Benjamin Cardin,D,MD,@SenatorCardin,@senatorcardin,https://www.facebook.com/senatorbencardin
Sen. Bill Cassidy,R,LA,@BillCassidy,@billcassidy,https://www.facebook.com/billcassidy/
Sen. Bob Casey,D,PA,@SenBobCasey,@senbobcasey,https://www.facebook.com/SenatorBobCasey
Sen. Brian Schatz,D,HI,@SenBrianSchatz,@brianschatz,https://www.facebook.com/SenBrianSchatz
Sen. Catherine Cortez Masto,D,NV,@SenCortezMasto,@sencortezmasto,https://www.facebook.com/SenatorCortezMasto/
Sen. Charles Grassley,R,IA,@ChuckGrassley,@senatorchuckgrassley,https://www.facebook.com/grassley
Sen. Charles Schumer,D,NY,@SenSchumer,@chuckschumer,https://www.facebook.com/senschumer/
Sen. Chris Coons,D,DE,@ChrisCoons,@senatorchriscoons,https://www.facebook.com/senatorchriscoons
Sen. Chris Van Hollen,D,MD,@ChrisVanHollen,@chrisvanhollen,https://www.facebook.com/chrisvanhollen/
Sen. Christopher Murphy,D,CT,@ChrisMurphyCT,@chrismurphyct,https://www.facebook.com/ChrisMurphyCT/
Sen. Cindy Hyde-Smith,R,MS,@SenHydeSmith,@sencindyhydesmith,https://www.facebook.com/SenatorCindyHydeSmith/
Sen. Cory Booker,D,NJ,@SenBookerOffice,@corybooker,https://www.facebook.com/corybooker/
Sen. Dan Sullivan,R,AK,@SenDanSullivan,@sen_dansullivan,https://www.facebook.com/SenDanSullivan
Sen. Deb Fischer,R,NE,@SenatorFischer,@senatorfischer,https://www.facebook.com/senatordebfischer
Sen. Debbie Stabenow,D,MI,@SenStabenow,@senatordebbiestabenow,https://www.facebook.com/stabenow/
Sen. Dianne Feinstein,D,CA,@SenFeinstein,,https://www.facebook.com/SenatorFeinstein/
Sen. Ed Markey,D,MA,@SenMarkey,@edmarkey,https://www.facebook.com/EdJMarkey
Sen. Elizabeth Warren,D,MA,@SenWarren,@elizabethwarrenma,https://www.facebook.com/senatorelizabethwarren
Sen. Eric Schmitt,R,MO,@SenEricSchmitt,@senericschmitt,https://www.facebook.com/SenEricSchmitt/
Sen. Gary Peters,D,MI,@SenGaryPeters,@sengarypeters,https://www.facebook.com/SenGaryPeters
Sen. J.D. Vance,R,OH,@SenVancePress,not yet set up,
Sen. Jacky Rosen,D,NV,@SenJackyRosen,@senjackyrosen,https://www.facebook.com/SenJackyRosen/
Sen. James Lankford,R,OK,@SenatorLankford,@senatorlankford,https://www.facebook.com/SenatorLankford
Sen. Jeanne Shaheen,D,NH,@SenatorShaheen,@senatorshaheen,https://www.facebook.com/SenatorShaheen
Sen. Jeff Merkley,D,OR,@SenJeffMerkley,@senjeffmerkley,https://www.facebook.com/jeffmerkley
Sen. Jerry Moran,R,KS,@JerryMoran,@senjerrymoran,https://www.facebook.com/jerrymoran
Sen. Jim Risch,R,ID,@SenatorRisch,,http://www.facebook.com/senatorjimrisch
Sen. John Boozman,R,AR,@JohnBoozman,@johnboozman,https://www.facebook.com/JohnBoozman
Sen. John Fetterman,D,PA,@SenFettermanPA,,https://www.facebook.com/JohnFettermanPA/
Sen. John Hickenlooper,D,CO,@SenatorHick,@johnhickenlooper,https://www.facebook.com/SenatorHick/
Sen. John Hoeven,R,ND,@SenJohnHoeven,@senjohnhoeven,https://www.facebook.com/SenatorJohnHoeven
Sen. John Kennedy,R,LA,@SenJohnKennedy,@senjohnkennedy,https://www.facebook.com/JohnKennedyLouisiana/
Sen. Jon Ossoff,D,GA,@SenOssoff,@jonossoff,https://www.facebook.com/SenOssoff/
Sen. Jon Tester,D,MT,@SenatorTester,@senatorjontester,https://www.facebook.com/senatortester
Sen. Joni Ernst,R,IA,@SenJoniErnst,@senjoniernst,https://www.facebook.com/senjoniernst
Sen. Josh Hawley,R,MO,@HawleyMO,@senatorhawley,https://www.facebook.com/SenatorHawley/
Sen. Katie Boyd Britt,R,AL,@SenKatieBritt,@senkatiebritt,https://www.facebook.com/senkatiebritt/
Sen. Kevin Cramer,R,ND,@kevincramer,@senatorkevincramer,
Sen. Kirsten Gillibrand,D,NY,@SenGillibrand,@kirstengillibrand,https://www.facebook.com/KirstenGillibrand/
Sen. Kyrsten Sinema,D,AZ,@Senatorsinema,@senatorsinema,https://www.facebook.com/senatorsinema/
Sen. Lisa Murkowski,R,AK,@lisamurkowski,@senlisamurkowski,https://www.facebook.com/SenLisaMurkowski/
Sen. Marco Rubio,R,FL,@marcorubio,@marcorubiofla,https://www.facebook.com/SenatorMarcoRubio
Sen. Margaret Wood Hassan,D,NH,@SenatorHassan,@senatorhassan,https://www.facebook.com/SenatorHassan/
Sen. Mark Kelly,D,AZ,@SenMarkkelly,@senamarkkelly,https://www.facebook.com/SenMarkKelly
Sen. Markwayne Mullin,R,OK,@SenMullin,@senmullin,https://www.facebook.com/mullinforamerica/
Sen. Martin Heinrich,D,NM,@MartinHeinrich,@senatormartinheinrich,https://www.facebook.com/MartinHeinrich
Sen. Mazie Hirono,D,HI,@maziehirono,@maziehirono,https://www.facebook.com/senatorhirono
Sen. Michael Bennet,D,CO,@SenBennetCO,@SenatorBennet,https://www.facebook.com/senbennetco
Sen. Michael Crapo,R,ID,@MikeCrapo,@mikecrapo,https://www.facebook.com/mikecrapo
Sen. Mike Braun,R,IN,@SenatorBraun,@senatorbraun,https://www.facebook.com/SenatorBraun/
Sen. Mitch McConnell,R,KY,@McConnellPress,@mcconnellpress,https://www.facebook.com/mitchmcconnell
Sen. Pete Ricketts,R,NE,@GovRicketts,@govricketts,https://www.facebook.com/GovernorPeteRicketts/
Sen. Rand Paul,R,KY,@DrRandPaul,@drrandpaul,https://www.facebook.com/SenatorRandPaul
Sen. Raphael Warnock,D,GA,@ReverendWarnock,@raphaelwarnock,https://www.facebook.com/reverendwarnock
Sen. Richard Blumenthal,D,CT,@SenBlumenthal,@senblumenthal,https://www.facebook.com/SenBlumenthal
Sen. Richard Durbin,D,IL,@SenatorDurbin,@durbincampaign,https://www.facebook.com/SenatorDurbin
Sen. Rick Scott,R,FL,@senrickscott,@flsenrickscott,
Sen. Robert Menendez,D,NJ,@SenatorMenendez,@senatormenendez,https://www.facebook.com/senatormenendez
"Sen. Roger Marshall, M.D.",R,KS,@RogerMarshallMD,@senrogermarshall,https://www.facebook.com/RogerMarshallMD/
Sen. Roger Wicker,R,MS,@SenatorWicker,@senatorwicker,https://www.facebook.com/SenatorWicker
Sen. Ron Wyden,D,OR,@RonWyden,@RonWyden,https://www.facebook.com/wyden/
Sen. Sherrod Brown,D,OH,@SenSherrodBrown,@sensherrodbrown,https://www.facebook.com/sherrod/
Sen. Steve Daines,R,MT,@SteveDaines,@stevedaines,https://www.facebook.com/SteveDainesMT
Sen. Susan Collins,R,ME,@SenatorCollins,@sensusancollins,https://www.facebook.com/susancollins
Sen. Tammy Duckworth,D,IL,@SenDuckworth,@SenDuckworth,https://www.facebook.com/SenDuckworth
Sen. Ted Budd,R,NC,@SenTedBudd,@sentedbudd,https://www.facebook.com/SenTedBudd/
Sen. Thom Tillis,R,NC,@SenThomTillis,@senthomtillis,https://www.facebook.com/SenatorThomTillis
Sen. Thomas Carper,D,DE,@SenatorCarper,@senatorcarper,https://www.facebook.com/tomcarper
Sen. Tina Smith,D,MN,@SenTinaSmith,@tinasmithmn,https://www.facebook.com/USSenTinaSmith/
Sen. Todd Young,R,IN,@SenToddYoung,@sentoddyoung,https://www.facebook.com/SenatorToddYoung
Sen. Tom Cotton,R,AR,@SenTomCotton,@tomcottonar,https://www.facebook.com/SenatorTomCotton
Sen. Tommy Tuberville,R,AL,@SenTuberville,@sentuberville,https://www.facebook.com/SenatorTuberville/
,,,,,
,,,,,
Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Rep. Mary Gay Scanlon,D,PA-5,@repmgs,@repmgs,https://www.facebook.com/RepMGS/
Rep. Chrissy Houlahan,D,PA-6,@rephoulahan,@chrissyhoulahan,https://www.facebook.com/ChrissyHoulahan/
Rep. Susan Wild,D,PA-7,@RepSusanWild,@repsusanwild,https://www.facebook.com/repsusanwild
Rep. Matthew Cartwright,D,PA-8,@RepCartwright,@repmattcartwright,https://www.facebook.com/CongressmanMattCartwright
Rep. Daniel Meuser,R,PA-9,@RepMeuser,@repmeuser,http://www.facebook.com/repmeuser
Rep. Scott Perry,R,PA-10,@RepScottPerry,@repscottperry,https://www.facebook.com/repscottperry
Rep. Lloyd Smucker,R,PA-11,@RepSmucker,@rep.smucker,https://www.facebook.com/RepSmucker
Rep. Summer Lee,D,PA-12,@RepSummerLee,@congresswomansummerl,https://www.facebook.com/RepSummerLee/
Rep. John Joyce,R,PA-13,@RepJohnJoyce,@johnjoycepa13,https://www.facebook.com/RepJohnJoyce/
Rep. Guy Reschenthaler,R,PA-14,@GReschenthaler,@greschenthaler,https://www.facebook.com/GReschenthaler
Rep. Glenn Thompson,R,PA-15,@CongressmanGT,@congressman_gt,https://www.facebook.com/CongressmanGT/
Rep. Mike Kelly,R,PA-16,@MikeKellyPA,,https://www.facebook.com/MikeKellyPA
Rep. Christopher Deluzio,D,PA-17,@RepDeluzio,@repdeluzio,https://www.facebook.com/RepChrisDeluzio/
Sen. Jack Reed,D,RI,@SenJackReed,@reedforri,https://www.facebook.com/SenJackReed/
Sen. Sheldon Whitehouse,D,RI,@SenWhitehouse,@senwhitehouse,https://www.facebook.com/SenatorWhitehouse
Rep. David Cicilline,D,RI-1,@RepCicilline,@repdavidcicilline,https://www.facebook.com/CongressmanDavidCicilline
Rep. Seth Magaziner,D,RI-2,@SethMagaziner,@sethmagazinerri,https://www.facebook.com/SethMagazinerRI/
Sen. Lindsey Graham,R,SC,@GrahamBlog,@lindseygrahamsc,https://www.facebook.com/USSenatorLindseyGraham/
Sen. Tim Scott,R,SC,@SenatorTimScott,@senatortimscott,https://www.facebook.com/SenatorTimScott
Rep. Nancy Mace,R,SC-1,@RepNancyMace,@repnancymace,https://www.facebook.com/RepNancyMace/
Rep. Joe Wilson,R,SC-2,@RepJoeWilson,@repjoewilson,https://www.facebook.com/JoeWilson
Rep. Jeff Duncan,R,SC-3,@RepJeffDuncan,@repjeffduncan,https://www.facebook.com/CongressmanDuncan
Rep. William Timmons,R,SC-4,@reptimmons,@reptimmons,https://www.facebook.com/RepTimmons/
Rep. Ralph Norman,R,SC-5,@RepRalphNorman,@repralphnorman,https://www.facebook.com/RepRalphNorman/
Rep. James Clyburn,D,SC-6,@Clyburn,@clyburnsc06,https://www.facebook.com/jameseclyburn
Rep. Russell Fry,R,SC-7,@RepRussellFry,@reprussellfry,https://www.facebook.com/reprussellfry
Sen. Mike Rounds,R,SD,@SenatorRounds,@senatorrounds,https://www.facebook.com/SenatorMikeRounds
Sen. John Thune,R,SD,@SenJohnThune,@senjohnthune,https://www.facebook.com/johnthune/
Rep. Dusty Johnson,R,SD-0,@RepDustyJohnson,@repdustyjohnson,https://www.facebook.com/RepDustyJohnson/
Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Sen. Bill Hagerty,R,TN,@SenatorHagerty,@senatorhagerty,https://www.facebook.com/SenatorBillHagerty/
Sen. Marsha Blackburn,R,TN,@MarshaBlackburn,@marshablackburn,https://www.facebook.com/marshablackburn/
Rep. Diana Harshbarger,R,TN-1,@RepHarshbarger,@repharshbarger,https://www.facebook.com/RepDianaHarshbarger/
Rep. Tim Burchett,R,TN-2,@RepTimBurchett,@reptimburchett,https://www.facebook.com/RepTimBurchett/
Rep. Chuck Fleischmann,R,TN-3,@RepChuck,@repchuck,https://www.facebook.com/repchuck
Rep. Scott DesJarlais,R,TN-4,@DesJarlaisTN04,@desjarlaistn04,https://www.facebook.com/ScottDesJarlaisTN04
Rep. Andrew Ogles,R,TN-5,@RepOgles,@andrew.ogles,
Rep. John Rose,R,TN-6,@RepJohnRose,@repjohnrose,https://www.facebook.com/repjohnrose
Rep. Mark Green,R,TN-7,@RepMarkGreen,@repmarkgreen,https://www.facebook.com/RepMarkGreenTN/
Rep. David Kustoff,R,TN-8,@repdavidkustoff,@repdavidkustoff,http://www.facebook.com/RepDavidKustoff/
Rep. Steve Cohen,D,TN-9,@RepCohen,@stevencohenny,https://www.facebook.com/CongressmanSteveCohen?ref=ts
Sen. John Cornyn,R,TX,@JohnCornyn,@johncornyn,https://www.facebook.com/SenJohnCornyn/
Sen. Ted Cruz,R,TX,@SenTedCruz,@sentedcruz,https://www.facebook.com/SenatorTedCruz
Rep. Nathaniel Moran,R,TX-1,@RepNateMoran,@repnatemoran,https://www.facebook.com/RepNateMoran/
Rep. Dan Crenshaw,R,TX-2,@RepDanCrenshaw,@dancrenshawtx,https://www.facebook.com/RepDanCrenshaw/
Rep. Keith Self,R,TX-3,not yet set up,,
Rep. Pat Fallon,R,TX-4,@RepPatFallon,@reppatfallon,https://www.facebook.com/RepPatFallon/?ref=page_internal
Rep. Lance Gooden,R,TX-5,@RepLanceGooden,@lancegooden,https://www.facebook.com/RepGooden
Rep. Jake Ellzey,R,TX-6,@repellzey,@commanderellzey,https://www.facebook.com/RepJakeEllzey/
Rep. Lizzie Fletcher,D,TX-7,@RepFletcher,@repfletcher,https://www.facebook.com/RepFletcher/
Rep. Morgan Luttrell,R,TX-8,@MLuttrellTX,@repluttrelltx,https://www.facebook.com/MLuttrellTX/
Rep. Al Green,D,TX-9,@RepAlGreen,@repalgreen,https://www.facebook.com/repalgreen
Rep. Michael McCaul,R,TX-10,@RepMcCaul,@congressman_mccaul,https://www.facebook.com/michaeltmccaul
Rep. August Pfluger,R,TX-11,@RepPfluger,@augustpflugertx,https://www.facebook.com/RepAugustPfluger/
Rep. Kay Granger,R,TX-12,@RepKayGranger,@repkaygranger,https://www.facebook.com/RepKayGranger
Rep. Ronny Jackson,R,TX-13,@RepRonnyJackson,@repronnyjackson,https://www.facebook.com/RepRonnyJackson/
Rep. Randy Weber,R,TX-14,@TXRandy14,@txrandy14,https://www.facebook.com/TXRandy14
Rep. Monica De La Cruz,R,TX-15,@RepMonicaDLC,@repmonicadlc,https://www.facebook.com/RepMonicaDLC
Rep. Veronica Escobar,D,TX-16,@repescobar,@veronicaescobartx,https://www.facebook.com/RepEscobar/
Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Rep. Pete Sessions,R,TX-17,@PeteSessions,@congressmanpetesessions,
Rep. Sheila Jackson Lee,D,TX-18,@JacksonLeeTX18,@sheilajacksonlee,https://www.facebook.com/CongresswomanSheilaJacksonLee
Rep. Jodey Arrington,R,TX-19,@RepArrington,@repjodeyarrington,http://www.facebook.com/JodeyArrington
Rep. Joaquin Castro,D,TX-20,@JoaquinCastrotx,@joaquincastrotx,https://www.facebook.com/JoaquinCastroTX
Rep. Chip Roy,R,TX-21,@RepChipRoy,repchiproy,https://www.facebook.com/RepChipRoyPress/
Rep. Troy Nehls,R,TX-22,@RepTroyNehls,@troynehlstx,https://www.facebook.com/RepTroyNehls/
Rep. Tony Gonzales,R,TX-23,@RepTonyGonzales,@reptonygonzales,http://www.facebook.com/HouseRepublicans
Rep. Beth Van Duyne,R,TX-24,@RepBethVanDuyne,@bethvanduynetx,https://www.facebook.com/RepBethVanDuyne/
Rep. Roger Williams,R,TX-25,@RepRWilliams,@reprwilliams,https://www.facebook.com/RepRogerWilliams
Rep. Michael Burgess,R,TX-26,@MichaelCBurgess,@repmichaelburgess,https://www.facebook.com/michaelcburgess
Rep. Michael Cloud,R,TX-27,@RepCloudTX,@michaeljcloud,https://www.facebook.com/RepCloudTX/
Rep. Henry Cuellar,D,TX-28,@RepCuellar,@repcuellar,https://www.facebook.com/repcuellar/
Rep. Sylvia Garcia,D,TX-29,@RepSylviaGarcia,@repsylviagarcia,https://www.facebook.com/RepSylviaGarcia
Rep. Jasmine Crockett,D,TX-30,@RepJasmine,@repjasmine,https://www.facebook.com/RepJasmine
Rep. John Carter,R,TX-31,@JudgeCarter,@repcarter,https://www.facebook.com/judgecarter
Rep. Colin Allred,D,TX-32,@RepColinAllred,@repcolinallred,https://www.facebook.com/RepColinAllred/
Rep. Marc Veasey,D,TX-33,@RepVeasey,@repveasey,https://www.facebook.com/CongressmanMarcVeasey
Rep. Vicente Gonzalez,D,TX-34,@RepGonzalez,@repvicentegonalez,https://www.facebook.com/RepVicenteGonzalez/
Rep. Greg Casar,D,TX-35,@RepCasar,@gregcasar,https://www.facebook.com/GregCasar/
Rep. Brian Babin,R,TX-36,@RepBrianBabin,@rep.brianbabin,https://www.facebook.com/RepBrianBabin
Rep. Lloyd Doggett,D,TX-37,@RepLloydDoggett,@replloyddoggett,https://www.facebook.com/RepLloydDoggett/
Rep. Wesley Hunt,R,TX-38,@RepWesleyHunt,,https://www.facebook.com/RepWesleyHunt/
Sen. Mitt Romney,R,UT,@SenatorRomney,@senatorromney,https://www.facebook.com/senatorromney/
Sen. Mike Lee,R,UT,@SenMikeLee,@senmikelee,https://www.facebook.com/senatormikelee
Rep. Blake Moore,R,UT-1,@RepBlakeMoore,@repblakemoore,https://www.facebook.com/RepBlakeMoore/
Rep. Chris Stewart,R,UT-2,@RepChrisStewart,@repChrisStewart,https://www.facebook.com/RepChrisStewart
Rep. John Curtis,R,UT-3,@RepJohnCurtis,@repjohncurtis,https://www.facebook.com/RepJohnCurtis/
Rep. Burgess Owens,R,UT-4,@RepBurgessOwens,@burgessowens,https://www.facebook.com/CongressmanBurgessOwens/
Sen. Peter Welch,D,VT,@PeterWelch,@senpeterwelch,https://www.facebook.com/PeterWelch/
Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Sen. Bernard Sanders,I,VT,@SenSanders,@berniesanders,https://www.facebook.com/senatorsanders
Rep. Becca Balint,D,VT-0,@BeccaBalintVT,@repbeccab,https://www.facebook.com/beccabalintvt/
Sen. Tim Kaine,D,VA,@timkaine,@timkaine,https://www.facebook.com/SenatorKaine
Sen. Mark Warner,D,VA,@MarkWarner,@senatorwarner,https://www.facebook.com/MarkRWarner
Rep. Robert Wittman,R,VA-1,@RobWittman,@reprobwittman,https://www.facebook.com/RepRobWittman
Rep. Jennifer Kiggans,R,VA-2,@JenKiggans,@repjenkiggans,https://www.facebook.com/Jen4VA/
"Rep. Robert ""Bobby"" Scott",D,VA-3,@RepBobbyScott,@repbobbyscott,https://www.facebook.com/CongressmanBobbyScott
Vacancy,,VA-4,,,
Rep. Bob Good,R,VA-5,@RepBobGood,,https://www.facebook.com/RepBobGood
Rep. Ben Cline,R,VA-6,@RepBenCline,@repbencline,https://www.facebook.com/RepBenCline
Rep. Abigail Spanberger,D,VA-7,@RepSpanberger,@repspanberger,https://www.facebook.com/RepAbigailSpanberger
Rep. Donald Beyer,D,VA-8,@repdonbeyer,@repdonbeyer,https://www.facebook.com/RepDonBeyer
Rep. Morgan Griffith,R,VA-9,@RepMGriffith,@hmorgangriffith,https://www.facebook.com/RepMorganGriffith
Rep. Jennifer Wexton,D,VA-10,@RepWexton,@repwexton,https://www.facebook.com/CongresswomanWexton
Rep. Gerald Connolly,D,VA-11,@GerryConnolly,@repgerryconnolly,https://www.facebook.com/CongressmanGerryConnolly
Sen. Maria Cantwell,D,WA,@SenatorCantwell,@senatormariacantwell,https://www.facebook.com/senatorcantwell/
Sen. Patty Murray,D,WA,@PattyMurray,@senpattymurray,https://www.facebook.com/pattymurray
Rep. Suzan DelBene,D,WA-1,@RepDelBene,@repdelbene,https://www.facebook.com/RepDelBene
"Rep. Rick Larsen
Rep. Marie Gluesenkamp Perez","D
D","WA-2
WA-3","@RepRickLarsen
@RepMGP","@repricklarsen
@RepMGP",https://www.facebook.com/RepRickLarsen
Rep. Dan Newhouse,R,WA-4,@RepNewhouse,@repnewhouse,https://www.facebook.com/RepNewhouse
"Rep. Cathy McMorris
Rodgers",R,WA-5,@CathyMcMorris,@cathymcmorris,https://www.facebook.com/mcmorrisrodgers
Rep. Derek Kilmer,D,WA-6,@RepDerekKilmer,@repderekkilmer,https://www.facebook.com/derek.kilmer
Rep. Pramila Jayapal,D,WA-7,@RepJayapal,@repjayapal,http://www.facebook.com/RepJayapal/
Rep. Kim Schrier,D,WA-8,@RepKimSchrier,@repkimschrier,https://www.facebook.com/RepKimSchrier/
Rep. Adam Smith,D,WA-9,@RepAdamSmith,@repadamsmith,https://www.facebook.com/RepAdamSmith
Rep. Marilyn Strickland,D,WA-10,@RepStricklandWA,@repstricklandwa,https://www.facebook.com/RepStricklandWA/
Sen. Tammy Baldwin,D,WI,@SenatorBaldwin,@senatorbaldwin,https://www.facebook.com/senatortammybaldwin
Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Sen. Ron Johnson,R,WI,@SenRonJohnson,@senronjohnson,https://www.facebook.com/senronjohnson/
Rep. Bryan Steil,R,WI-1,@RepBryanSteil,@repbryansteil,https://www.facebook.com/RepBryanSteil/
